City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,saint-francois,46.4154,3.9054,20.69,64,0,1.54,FR,1691614953
303,poso,-1.3959,120.7524,26.3,80,95,1.91,ID,1691614998
304,alesund,62.4723,6.1549,12.64,89,75,5.14,NO,1691614998
305,yeed,4.55,43.0333,27.05,48,100,8.79,SO,1691614998
306,vuktyl,63.8567,57.3094,14.84,67,93,1.66,RU,1691614999
307,williams lake,52.1415,-122.1445,23.92,56,75,1.54,CA,1691614999
308,new norfolk,-42.7826,147.0587,13.29,79,100,2.69,AU,1691614785
309,papao,-17.75,-149.55,26.82,72,100,7.17,PF,1691614999
310,ust'-kut,56.7938,105.7672,17.21,99,100,1.19,RU,1691614999
311,katsuura,35.1333,140.3,26.46,84,76,4.87,JP,1691614962
312,shanhaiguan,39.9988,119.7564,22.84,73,0,2.54,CN,1691614999
313,pemangkat,1.1667,108.9667,25.37,89,97,1.7,ID,1691614999
314,ilulissat,69.2167,-51.1,12.01,43,75,1.54,GL,1691615000
315,la passe,45.5549,-0.8967,26.13,49,1,5.83,FR,1691614968
316,kudat,6.8837,116.8477,25.96,78,20,2.24,MY,1691615000
317,monrovia,6.3005,-10.7969,25.04,83,100,6.45,LR,1691614713
318,cromwell,41.5951,-72.6454,30.28,51,67,4.01,US,1691614809
319,demba,-5.51,22.2667,24.56,41,44,0.25,CD,1691615000
320,tsiroanomandidy,-18.7667,46.0333,17.61,56,50,1.89,MG,1691615001
321,egra,50.0796,12.3739,12.41,78,13,0.51,CZ,1691615001
322,ouddorp,51.8117,3.9347,16.99,77,3,1.26,NL,1691615001
323,kashgar,39.4547,75.9797,26.56,29,0,4.0,CN,1691615001
324,val-d'or,48.1002,-77.7828,23.05,60,75,1.54,CA,1691614953
325,nicoya,10.1483,-85.452,31.35,65,73,1.62,CR,1691615001
326,greymouth,-42.4667,171.2,7.66,55,42,7.22,NZ,1691614849
327,airdrie,55.866,-3.9803,16.67,91,92,2.14,GB,1691615001
328,camacupa,-12.0167,17.4833,19.06,30,0,1.47,AO,1691615002
329,buchanan,5.8808,-10.0467,24.85,85,100,6.08,LR,1691615003
330,kenora,49.8167,-94.4337,17.54,55,75,4.63,CA,1691614753
331,lompoc,34.6391,-120.4579,31.12,74,75,3.13,US,1691614785
332,kupang,-10.1667,123.5833,22.68,82,8,4.45,ID,1691615009
333,lorengau,-2.0226,147.2712,27.52,77,100,6.11,PG,1691614883
334,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1691615009
335,qui nhon,13.7667,109.2333,27.8,71,69,3.68,VN,1691615009
336,bahia honda,22.9036,-83.1592,32.36,65,17,3.57,CU,1691615009
337,carrigaline,51.8117,-8.3986,16.86,100,100,5.14,IE,1691615010
